,Delta_x,Delta_y,Typ_obj,Date,Year,mjd,radius,theta_x,ratio_x,source,epoch,flux,size,ratio_y,cpa,stokes,observer,method,freq,p,EVPA,label,masyr,dmasyr,meandist,meansize,meanpa,t_o,dt_o,mean_flux,qflux,uflux,use_in_fit,counterjet,residual_rms,num_fitted_epochs,dmeandist,dmeanpa,motionphi,dmotionphi,nonradial,accel_par,daccel_par,accel_perp,daccel_perp,accel_x,daccel_x,masyr_x,dmasyr_x,masyr_y,dmasyr_y,t_o_x,dt_o_x,t_o_y,dt_o_y,radial_masyr,dradial_masyr,t_o_radial,dt_o_radial,dx,dy,begin_date,middle_date,end_date,parallel,perpendicular,accel_y,daccel_y,mu_offset,dmu_offset,masyr_a,dmasyr_a,motionphi_a,dmotionphi_a,masyr_x_a,dmasyr_x_a,masyr_y_a,dmasyr_y_a,dx_a,dy_a,mu_offset_a,dmu_offset_a,dmean_flux,rating,inward,stationary,mindist,maxdist,median_m,median_flux,median_size,median_tb,m,max_m,x_o,y_o,inward_a,nonradial_a,tej_blanked,p_atpeak,m_atpeak,i_atpeak,iflux,p_rmstot,qu_rms,EVPA_atpeak,sigma_EVPA,EVPAcoverage,EVPAnepochs,x_m,dx_m,y_m,dy_m,dmeandist_a,dmeanpa_a,x_m_a,dx_m_a,y_m_a,dy_m_a,accel_flag,accel_mag,daccel_mag,accel_ang,daccel_ang,dr_radial,delta,d_delta,theta_y,d_theta,gamma,d_gamma,tvar,d_tvar,FWHM,d_FWHM,dpa,component_number,maj,min,pos,x,y,redshift,is_core
0,1.870870534048663e-07,-8.610909389972221e-07,1.0,2009-01-07,2009.0171115674195,54838.0,3.1722499985407575,167.7420012200197,1.0,0506+056,2009-01-07,0.02469000034034252,1.71159,1.0,0.0,I,MLL,UV,15.4,-0.0006,,,0.057692,0.012443,3.7122,1.843163,173.74,2025.36,56.676,0.02169,0.00017111,4.66933e-05,1,-1,,24.0,0.057679,0.54,-138.89,12.26,Y,0.0051006,0.0083703,0.0034903,0.008125,-0.0059575,0.005731,-0.037936,0.0088054,-0.043465,0.014717,2027.0,57.169,1931.431,432.68,0.039187,0.014757,1921.408,330.86,0.16935,0.28452,2009.0164,2015.0903,2021.1643,N,N,-0.0016453,0.0098544,47.38,12.27,0.056306,0.01269,-139.82,12.98,-0.036327,0.008711,-0.04302,0.015126,0.16904,0.29103,46.44,12.98,0.008,1,N,,3.206,4.132,,0.0222772,1.86112,7.53,-0.15193,0.120112,0.062206,-4.0826,N,Y,Y,-0.0006,-0.0006,0.00381338,0.00394918,0.000184241,0.000184,,,,,0.4518,0.036519,-3.6362,0.06067,0.059353,0.55,0.5012,0.060512,-3.6226,0.10193,N,0.0061805,0.0077332,-105.44,67.25,0.28355,,,,,,,,,,,2.7448,1,4.754416806918016e-07,4.754416806918016e-07,0.0,1.870870534048663e-07,-8.610909389972221e-07,0,False
1,4.4670085408426985e-09,1.7561905707452752e-08,1.0,2009-01-07,2009.0171115674195,54838.0,0.06523600292831593,14.271000302561465,1.0,0506+056,2009-01-07,0.35495901107788086,0.0919392,1.0,0.0,I,MLL,UV,15.4,0.00650615,186.8,,,,,0.095541,,,,0.37876,0.00632413,0.0015282,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242,1,,,,,0.0222936,0.276133,0.0919392,11.34,0.0173122,0.0537596,,,,,,0.00700536,0.0173262,0.404322,0.375813,0.000186358,0.000184,186.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.5538611225783825e-08,2.5538611225783825e-08,0.0,4.4670085408426985e-09,1.7561905707452752e-08,0,True
2,-3.056681663338168e-08,-9.7940073828795e-08,1.0,2009-01-07,2009.0171115674195,54838.0,0.36935698842085574,-162.6670065380238,1.0,0506+056,2009-01-07,0.10170900076627731,0.198046,1.0,0.0,I,MLL,UV,15.4,0.00515597,176.1,,0.051102,0.0064765,0.52989,0.270604,-166.98,2000.784,1.4113,0.08228,0.00510842,-0.000698603,1,-1,,7.0,0.0087681,1.14,-178.34,9.16,N,,,,,,,-0.0014773,0.0081425,-0.05108,0.0064728,1930.058,1030.4,2000.785,1.4113,0.050162,0.0076554,2000.317,1.8244,0.028383,0.022872,2009.0164,2011.0876,2013.1588,,,,,11.37,9.23,,,,,,,,,,,,,0.035,1,N,,0.435,0.636,0.0170099,0.0721732,0.265774,9.78,0.0192003,0.0219236,-0.10448,6.7764e-06,,,Y,0.00548435,0.0194825,0.281502,0.268536,0.000185325,0.000184,176.5,37.1,4.14237,7.0,-0.1197,0.010707,-0.52628,0.0087623,,,,,,,,,,,,0.026656,2.74621,0.694657,15.5122,5.93472,1.76181,0.664268,3.28418,0.662873,0.270604,0.0412577,3.6639,4,5.501277655639569e-08,5.501277655639569e-08,0.0,-3.056681663338168e-08,-9.7940073828795e-08,0,False
3,-8.088390046623317e-08,-4.993922289031616e-07,1.0,2009-01-07,2009.0171115674195,54838.0,1.8212399773834722,-170.79999901132075,1.0,0506+056,2009-01-07,0.04637100175023079,0.805249,1.0,0.0,I,MLL,UV,15.4,0.00118045,199.2,,0.057158,0.027308,1.9685,0.951469,-172.23,1978.589,4820.0,0.0493,0.000924138,0.000734464,1,-1,,8.0,0.040494,0.39,170.44,16.87,N,,,,,,,0.0094931,0.0076352,-0.056364,0.025109,2039.318,27639.0,1976.684,4895.0,0.054625,0.025001,1975.242,2084.0,0.03478,0.11644,2009.0164,2011.5411,2014.0657,,,,,17.33,16.87,,,,,,,,,,,,,0.01,1,N,,1.797,2.175,0.0571379,0.0518226,0.942009,8.51,0.0540963,0.0792586,-0.57651,-0.10737,,,Y,0.00116404,0.0526368,0.0221147,0.0218213,0.000184248,0.000184,198.5,7.9,5.0486,8.0,-0.26369,0.012515,-1.9647,0.041177,,,,,,,,,,,,0.11503,,,,,,,,,,,1.2082,2,2.2368027430275106e-07,2.2368027430275106e-07,0.0,-8.088390046623317e-08,-4.993922289031616e-07,0,False
4,-2.3698157747276127e-07,-3.1172567105386406e-07,0.0,2009-01-07,2009.0171115674195,54838.0,1.4096800276086643,-142.75700352984447,0.0,0506+056,2009-01-07,0.007443999871611595,0.0,1.0,0.0,I,MLL,UV,15.4,0.00103087,226.5,,0.015579,0.010498,1.2398,,-143.26,2114.662,2636.0,,-5.35922e-05,0.00102948,1,-1,,15.0,0.032307,1.46,21.33,44.79,N,-0.014869,0.011091,-0.012691,0.011962,-0.01786,0.0066333,0.0056669,0.009439,0.014511,0.010614,2144.842,3668.3,2082.437,3790.5,-0.014563,0.010019,2099.474,23608.0,0.11558,0.13094,2009.0164,2013.7135,2018.4106,N,N,-0.0079478,0.0091481,164.59,44.83,0.016872,0.010507,25.53,37.99,0.0072711,0.0077084,0.015225,0.010771,0.094933,0.13227,168.79,38.02,,-1,N,,1.036,1.47,,,,,0.0960532,,-0.17103,0.46763,N,N,,0.00108045,0.0986446,0.0109529,0.0107323,0.000184242,0.000184,226.9,5.8,3.08008,6.0,-0.74309,0.030275,-0.99726,0.033721,0.03089,1.3,-0.65276,0.041497,-0.95706,0.057417,N,0.019548,0.0071606,-113.99,26.27,0.12404,,,,,,,,,,,,3,0.0,0.0,0.0,-2.3698157747276127e-07,-3.1172567105386406e-07,0,False
5,1.6428512594757194e-07,-9.178380651064799e-07,1.0,2010-07-12,2010.5256673511294,55389.0,3.356729875951232,169.85201069588453,1.0,0506+056,2010-07-12,0.02342200092971325,1.86116,1.0,0.0,I,MLL,UV,15.4,-0.0007,,,0.057692,0.012443,3.7122,1.843163,173.74,2025.36,56.676,0.02169,0.000187109,3.56822e-05,1,-1,,24.0,0.057679,0.54,-138.89,12.26,Y,0.0051006,0.0083703,0.0034903,0.008125,-0.0059575,0.005731,-0.037936,0.0088054,-0.043465,0.014717,2027.0,57.169,1931.431,432.68,0.039187,0.014757,1921.408,330.86,0.16935,0.28452,2009.0164,2015.0903,2021.1643,N,N,-0.0016453,0.0098544,47.38,12.27,0.056306,0.01269,-139.82,12.98,-0.036327,0.008711,-0.04302,0.015126,0.16904,0.29103,46.44,12.98,0.008,1,N,,3.206,4.132,,0.0222772,1.86112,7.53,-0.2135,0.120112,0.062206,-4.0826,N,Y,Y,-0.0007,-0.0007,0.00326149,0.00327868,0.0002091,0.000209,,,,,0.4518,0.036519,-3.6362,0.06067,0.059353,0.55,0.5012,0.060512,-3.6226,0.10193,N,0.0061805,0.0077332,-105.44,67.25,0.28355,,,,,,,,,,,2.4961,1,5.169889050193888e-07,5.169889050193888e-07,0.0,1.6428512594757194e-07,-9.178380651064799e-07,0,False
6,3.7255083462639504e-09,2.8104707894271996e-08,1.0,2010-07-12,2010.5256673511294,55389.0,0.10206200113977418,7.5510005387177666,1.0,0506+056,2010-07-12,0.20726199448108673,0.0701121,1.0,0.0,I,MLL,UV,15.4,0.000901325,118.0,,,,,0.095541,,,,0.37876,-0.000503684,-0.000747455,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242,1,,,,,0.0222936,0.276133,0.0919392,11.34,0.00361982,0.0537596,,,,,,0.000937746,0.00350838,0.267288,0.248997,0.000210013,0.000209,119.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.947555361425657e-08,1.947555361425657e-08,0.0,3.7255083462639504e-09,2.8104707894271996e-08,0,True
7,-2.066125759370152e-08,-1.0583912057882117e-07,1.0,2010-07-12,2010.5256673511294,55389.0,0.38821300706295236,-168.95399001711104,1.0,0506+056,2010-07-12,0.11740099638700485,0.308297,1.0,0.0,I,MLL,UV,15.4,0.00128082,103.7,,0.051102,0.0064765,0.52989,0.270604,-166.98,2000.784,1.4113,0.08228,-0.00113665,-0.000590356,1,-1,,7.0,0.0087681,1.14,-178.34,9.16,N,,,,,,,-0.0014773,0.0081425,-0.05108,0.0064728,1930.058,1030.4,2000.785,1.4113,0.050162,0.0076554,2000.317,1.8244,0.028383,0.022872,2009.0164,2011.0876,2013.1588,,,,,11.37,9.23,,,,,,,,,,,,,0.035,1,N,,0.435,0.636,0.0170099,0.0721732,0.265774,9.78,0.00662204,0.0219236,-0.10448,6.7764e-06,,,Y,0.00132737,0.00656041,0.20233,0.193418,0.000209651,0.000209,104.7,37.1,4.14237,7.0,-0.1197,0.010707,-0.52628,0.0087623,,,,,,,,,,,,0.026656,2.74621,0.694657,15.5122,5.93472,1.76181,0.664268,3.28418,0.662873,0.270604,0.0412577,3.3112,4,8.563805664607571e-08,8.563805664607571e-08,0.0,-2.066125759370152e-08,-1.0583912057882117e-07,0,False
8,-6.709493050038873e-08,-4.660674903789186e-07,1.0,2010-07-12,2010.5256673511294,55389.0,1.6951399450543727,-171.80799946474468,1.0,0506+056,2010-07-12,0.053102001547813416,0.8554,1.0,0.0,I,MLL,UV,15.4,0.000945217,227.2,,0.057158,0.027308,1.9685,0.951469,-172.23,1978.589,4820.0,0.0493,-7.19354e-05,0.000942476,1,-1,,8.0,0.040494,0.39,170.44,16.87,N,,,,,,,0.0094931,0.0076352,-0.056364,0.025109,2039.318,27639.0,1976.684,4895.0,0.054625,0.025001,1975.242,2084.0,0.03478,0.11644,2009.0164,2011.5411,2014.0657,,,,,17.33,16.87,,,,,,,,,,,,,0.01,1,N,,1.797,2.175,0.0571379,0.0518226,0.942009,8.51,0.0348152,0.0792586,-0.57651,-0.10737,,,Y,0.000955122,0.0351357,0.0271838,0.0271496,0.000209111,0.000209,226.8,7.9,5.0486,8.0,-0.26369,0.012515,-1.9647,0.041177,,,,,,,,,,,,0.11503,,,,,,,,,,,1.2201,2,2.3761111833664472e-07,2.3761111833664472e-07,0.0,-6.709493050038873e-08,-4.660674903789186e-07,0,False
9,-2.037694173395721e-07,-2.525793263430387e-07,1.0,2010-07-12,2010.5256673511294,55389.0,1.1683000720461343,-141.10500225152785,1.0,0506+056,2010-07-12,0.021906999871134758,0.486793,1.0,0.0,I,MLL,UV,15.4,0.00152658,242.7,,0.015579,0.010498,1.2398,,-143.26,2114.662,2636.0,,-0.000882985,0.0012453,1,-1,,15.0,0.032307,1.46,21.33,44.79,N,-0.014869,0.011091,-0.012691,0.011962,-0.01786,0.0066333,0.0056669,0.009439,0.014511,0.010614,2144.842,3668.3,2082.437,3790.5,-0.014563,0.010019,2099.474,23608.0,0.11558,0.13094,2009.0164,2013.7135,2018.4106,N,N,-0.0079478,0.0091481,164.59,44.83,0.016872,0.010507,25.53,37.99,0.0072711,0.0077084,0.015225,0.010771,0.094933,0.13227,168.79,38.02,,-1,N,,1.036,1.47,,,,,0.0616326,,-0.17103,0.46763,N,N,,0.00160969,0.0648625,0.024817,0.024769,0.000209109,0.000209,242.5,5.8,3.08008,6.0,-0.74309,0.030275,-0.99726,0.033721,0.03089,1.3,-0.65276,0.041497,-0.95706,0.057417,N,0.019548,0.0071606,-113.99,26.27,0.12404,,,,,,,,,,,,3,1.3522027586532204e-07,1.3522027586532204e-07,0.0,-2.037694173395721e-07,-2.525793263430387e-07,0,False
